review_id,customer_id,product_id,order_id,rating,review_title,review_text,is_verified_purchase,created_at
1,3,35,3,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2025-11-16 02:42:57+00
2,4,28,4,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-11-11 20:43:29+00
3,8,9,9,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2024-11-02 12:34:43+00
4,8,30,10,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-12-10 23:05:43+00
5,9,17,11,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-10-10 05:05:29+00
6,12,7,15,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-11-14 09:50:18+00
7,13,18,16,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-01-18 06:29:56+00
8,14,4,17,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-09-10 12:26:07+00
9,15,1,18,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-12-02 02:35:55+00
10,15,2,20,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2026-03-02 22:44:55+00
11,16,27,22,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-07-11 21:08:49+00
12,17,30,24,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-10-21 18:04:06+00
13,18,3,25,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-08-31 10:58:07+00
14,18,6,26,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-09-22 21:54:07+00
15,20,23,29,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2025-01-16 13:24:42+00
16,21,35,30,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-03-18 23:14:25+00
17,23,1,32,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-09-25 22:47:06+00
18,26,26,38,1,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2024-03-13 07:00:34+00
19,27,11,40,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-11-09 22:02:06+00
20,27,25,42,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2026-02-05 18:32:06+00
21,29,20,46,5,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2024-06-30 18:16:19+00
22,30,29,47,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-03-01 13:38:31+00
23,31,4,48,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-12-08 09:45:30+00
24,33,32,50,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-05-08 16:16:52+00
25,34,15,52,2,Not what I expected,Colors did not match the product pictures online. Customer support was slow.,TRUE,2025-05-13 06:59:43+00
26,38,38,57,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-05-23 13:06:08+00
27,42,8,62,2,Defective on arrival,Had to initiate a return immediately due to damaged hardware.,TRUE,2025-12-27 20:58:55+00
28,42,27,63,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2026-01-25 09:12:55+00
29,45,3,69,2,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2024-09-21 11:10:14+00
30,48,34,72,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-01-28 01:16:39+00
31,49,6,73,4,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-11-14 08:40:02+00
32,51,19,75,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-12-05 04:21:23+00
33,52,8,78,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2025-07-22 01:45:16+00
34,53,16,80,4,Exceeded Expectations!,Absolutely stellar quality. Built to last and works seamlessly out of the box.,TRUE,2025-06-09 22:38:29+00
35,55,24,83,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-07-22 09:45:58+00
36,56,32,84,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2024-08-06 12:16:33+00
37,57,31,85,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-08-02 14:48:18+00
38,60,20,90,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-07-09 17:08:43+00
39,61,38,91,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2024-06-25 20:21:20+00
40,63,17,94,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2025-03-25 13:25:25+00
41,66,38,99,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-09-02 04:08:00+00
42,66,2,101,4,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-10-24 16:32:00+00
43,66,15,102,5,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2025-11-04 00:17:00+00
44,69,16,106,3,Okay for the price,"Nothing extraordinary, but perfectly fine for daily casual use.",TRUE,2025-05-01 17:23:49+00
45,72,26,111,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-05-24 23:27:52+00
46,75,8,114,3,Average performance,Works as advertised but packaging was slightly dinged during transit.,TRUE,2025-04-05 17:09:02+00
47,75,2,115,5,Top notch quality,Remarkable attention to detail. Fast shipping and solid packaging.,TRUE,2025-04-09 00:52:02+00
48,79,34,123,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2025-04-07 21:34:01+00
49,83,2,128,3,"Decent, does the job","Good product overall, though a bit heavier than I anticipated.",TRUE,2025-08-17 15:42:47+00
50,84,30,129,4,Sturdy and reliable,I have been using this daily for weeks now with zero complaints.,TRUE,2024-03-08 11:03:53+00
51,85,27,130,4,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-03-12 03:35:44+00
52,87,5,132,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-09-10 19:32:01+00
53,88,9,134,5,Great value for money,Competes with items twice the price. Very satisfied with this product.,TRUE,2024-05-20 19:30:23+00
54,94,27,147,5,Would buy again in a heartbeat,Hands down the best purchase I made this year. High performance and sleek design.,TRUE,2024-02-09 04:08:23+00
55,99,10,156,1,Disappointed with build quality,Stopped functioning after 2 weeks. Expected better durability for the price.,TRUE,2025-09-01 14:19:20+00
